Column1,Column2,Column3,Column4,Column5,Column6,Column7
PVSYST v6.66,,,,,,
,File,File date,Description,,,
Project,Sertão .PRJ,00/00/00 00h00,Sertão,,,
Geographical Site,Sertao PV_MN71.SIT,00/00/00 00h00,Sertao PV,Brazil,South_America,
Meteo data,Sertao PV_MN71_SYN.MET,00/00/00 00h00,Sertao PV,"Meteonorm 7.1 (1900-1900), Sat=100%",Synthetic,
Simulation variant,Sertão .VC1,00/00/00 00h00,New simulation variant,,,
Simulation date,,03/11/17 10h14,,,,
,,,,,,
Simulation:,Hourly values, from 01/01/90, to 31/12/90,,,
,,,,,,
date,GlobHor,GlobEff,GlobInc,T Amb,WindVel,EArrMPP
    ,W/m²,W/m²,W/m²,°C,m/s,W
,,,,,,
01/01/1990 00:00,0,0,0,26.84,0.4999,0
01/01/1990 01:00,0,0,0,28.24,0.2999,0
01/01/1990 02:00,0,0,0,28.09,0.2,0
01/01/1990 03:00,0,0,0,28.01,0.3999,0
01/01/1990 04:00,0,0,0,27.96,0.4999,0
01/01/1990 05:00,0.9921,0,1.0241,27.96,0.9001,0
01/01/1990 06:00,26.606,24.744,25.891,28.16,0.3999,714215
01/01/1990 07:00,106.89,92.529,96.268,28.66,1.5999,3043509
01/01/1990 08:00,163.49,147.47,153.68,29.14,0.9001,4938692
01/01/1990 09:00,207.9,192.01,200.32,29.57,3.7999,6455092
01/01/1990 10:00,210.39,196.34,204.87,29.84,2.1,6594367
01/01/1990 11:00,238.01,223.04,232.83,30.13,1.7001,7488703
01/01/1990 12:00,225.99,211.57,220.86,30.31,2.1,7095715
01/01/1990 13:00,212.3,197.54,206.2,30.41,2.4999,6617533
01/01/1990 14:00,168.6,154.81,161.45,30.42,1.5999,5160860
01/01/1990 15:00,127,112.96,117.66,30.28,3.2,3725377
01/01/1990 16:00,59.2,53.378,55.672,29.95,1.3999,1676885
01/01/1990 17:00,24.207,22.697,23.748,29.47,1.9001,641963
01/01/1990 18:00,0.1082,0,0.1082,28.77,1,0
01/01/1990 19:00,0,0,0,29.05,1,0
01/01/1990 20:00,0,0,0,28.48,1.1,0
01/01/1990 21:00,0,0,0,28.43,0.3999,0
01/01/1990 22:00,0,0,0,28.3,0.2,0
01/01/1990 23:00,0,0,0,28.14,0.2,0
02/01/1990 00:00,0,0,0,27,0.2999,0
02/01/1990 01:00,0,0,0,25.71,2.1,0
02/01/1990 02:00,0,0,0,26.23,3.7999,0
02/01/1990 03:00,0,0,0,27.29,2.4999,0
02/01/1990 04:00,0,0,0,27.12,3.5,0
